Name,EcoScore,Category_1,Category_2,Category_3,Category_4,Category_5
Vin blanc sec,32.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins blancs secs
Martini Rosso,,Boissons,Boissons alcoolisées,Vins,Vins aromatisés,
Freixenet,44.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins effervescents
Vergers gourmands,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne
Veuve Clicquot Champagne Ponsardin Brut,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Bar Champagner,,Boissons,Boissons alcoolisées,Vins,Vins effervescents,
Prosecco DOC Treviso,,Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco
Vin rouge sans alcool,22.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,
Listel,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Sable de Camargue
Riccadonna,,Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco
Bordeaux 2013,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Bordeaux élevé en fûts de chêne,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Cabernet-Syrah 2014,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin rouge,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Cabernet Sauvignon,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Muscat de Samos Grand Cru,44.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Grain de gris,38.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Cabernet sauvigon,31.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin Merlot Pays d'Oc,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Vin blanc sec,28.0,Boissons,Boissons alcoolisées,Vins,Vins blancs,
JP. Chenet,,Boissons,Boissons alcoolisées,Vins,,
,,Boissons,Boissons alcoolisées,Vins,,
Côtes du Rhône,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,
Rosé de purcari,25.0,Boissons,Boissons alcoolisées,Vins,Vins rosés,
Cotes du Rhône,32.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes du Rhône
Champagne,36.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes
Billette,47.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés
Porto tawny 75cl,39.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Vin d'Alsace Riesling,34.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins blancs
Grenache Cinsault Pays D'Oc,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc
Vin,,Boissons,Boissons alcoolisées,Vins,,
Muscador rosé,38.0,Boissons,Boissons alcoolisées,Vins,Vins effervescents,Vins rosés
Nicolas Feuillatte,45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins effervescents
Malesan Rouge,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Vin de bordeaux,44.0,Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges
Côtes de Thau,33.0,Boissons,Boissons alcoolisées,Vins,Vins français,Côtes de Thau
"Muscat de Rivesaltes 15,5 °",40.0,Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux
Vino tinto cabernet sauvignon,37.0,Boissons,Boissons alcoolisées,Vins,Vins rouges,Cabernet Sauvignon
Bordeaux Superieur (Appellation d'Origine Protégée),45.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
Vin de Bordeaux,43.0,Boissons,Boissons alcoolisées,Vins,Vins français,Bordeaux
