Name,EcoScore,Countries,Category_1,Category_2,Category_3,Category_4,Category_5,Category_6,Category_7,Category_8,Category_9,Category_10,Category_11,Category_12,Category_13,Category_14,Category_15,Category_16,Category_17
"Ovomaltine - Vitamin & Mineral Bars, 5 ct 100g (3.5oz)",37,"['en:belgium', 'en:france', 'en:luxembourg', 'en:switzerland']",Boissons,Boissons alcoolisées,Snacks,Snacks sucrés,Vins,Cacao et dérivés,Confiseries,Barres,Confiseries chocolatées,Vins français,Barres chocolatées,Alsace Grand Cru,Alsace Grand Cru Saering,,,,
Finement pétillante,,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons gazeuses,Eaux,Eaux de sources,Eaux minérales,Vins effervescents,Eaux gazeuses,Eaux minérales gazeuses,Vins pétillant,en:Boissons  Boissons gazeuses  Eaux  Eaux de sources  Eaux minérales  Eaux gazeuses  Eaux minérales gazeuses,,,,,
Ain Saiss Eau Minerale Naturelle,,"['en:france', 'en:morocco']",Boissons,Boissons alcoolisées,Vins,Eaux,Vins français,Eaux de sources,Eaux minérales,Ain,,,,,,,,,
Comte,-4,['en:france'],Boissons,Boissons alcoolisées,Produits laitiers,Produits fermentés,Produits laitiers fermentés,Vins,Fromages,Vins français,en:cooked-pressed-cheeses,Fromages de France,Comté,Comté Tolosan,en:Aoc-cheeses,en:Labeled-cheeses,Produits labellisés,,
Vin blanc sec,32,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins blancs secs,,,,,,,,,,,,
L'Oreillette du Languedoc,15,['en:france'],Boissons,Boissons alcoolisées,Snacks,Snacks sucrés,Vins,Biscuits et gâteaux,Vins français,Biscuits,Gâteaux,Languedoc,,,,,,,
Martini Rosso,,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins aromatisés,,,,,,,,,,,,,
Ain Saiss,,"['en:france', 'en:morocco']",Boissons,Boissons alcoolisées,Vins,Eaux,Vins français,Ain,,,,,,,,,,,
Vinaigre de Vin Blanc Aromatisé Noix,36,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Condiments,Vins,Vinaigres,Vinaigres de vin,Vinaigres de vins blancs,en:Groceries,,,,,,,,,
Freixenet,44,"['en:australia', 'en:belgium', 'en:france']",Boissons,Boissons alcoolisées,Vins,Vins blancs,Vins effervescents,Vins espagnols,Vin blanc mousseux,Vins pétillant,,,,,,,,,
Vergers gourmands,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Bourgogne,Vins rouges,Pommard,Pommard Clos de Verger,,,,,,,,,
Veuve Clicquot Champagne Ponsardin Brut,36,"['en:australia', 'en:france', 'en:germany', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,Champagnes,,,,,,,,,,,,
Bar Champagner,,"['en:denmark', 'en:france', 'en:germany', 'en:spain', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins effervescents,,,,,,,,,,,,,
Prosecco DOC Treviso,,"['en:france', 'en:germany']",Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco,,,,,,,,,,,,
Vin rouge sans alcool,22,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins rouges,,,,,,,,,,,,,
Listel,45,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Sable de Camargue,,,,,,,,,,,,
Riccadonna,,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins italiens,Prosecco,,,,,,,,,,,,
Bordeaux 2013,44,"['en:belgium', 'en:france', 'en:reunion', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
Bordeaux élevé en fûts de chêne,31,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Bordeaux,,,,,,,,,,,
Petillant de Listel peche,,['en:france'],Boissons,Boissons alcoolisées,Vins,Boissons gazeuses,Boissons sans alcool,Vins effervescents,Boissons sans sucre ajouté,Vins pétillant,,,,,,,,,
Cabernet-Syrah 2014,44,"['en:france', 'en:germany', 'en:reunion', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Pays d'Oc,Cabernet-Syrah,,,,,,,,,,
Vin rouge,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Côtes du Rhône,,,,,,,,,,,
Vinaigre Français de Vin Rouge,37,['en:france'],Boissons,Boissons alcoolisées,Condiments,Vins,Vinaigres,Vinaigres de vin,Vinaigres de vins rouges,,,,,,,,,,
Cabernet Sauvignon,44,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,,,,,,,,,,,,
Muscat de Samos Grand Cru,44,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins mutés,Vins doux,Vins mutés de type vin doux naturel,Vins français,Muscats,Muscat-de-samos,,,,,,,,
Grain de gris,38,"['en:france', 'en:switzerland']",Boissons,Boissons alcoolisées,Vins,Vins français,Vins rosés,Sable de Camargue,,,,,,,,,,,
Cabernet sauvigon,31,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Vins rouges,Pays d'Oc,,,,,,,,,,,
Vin Merlot Pays d'Oc,45,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins français,Pays d'Oc,,,,,,,,,,,,
Vin blanc sec,28,['en:france'],Boissons,Boissons alcoolisées,Vins,Vins blancs,,,,,,,,,,,,,
