alcohol_type,Year,Value
Alcool fort,1960-01-01,11.45
"Champagne, cidre et apéritif",1960-01-01,11.18
Vins de qualité supérieure,1960-01-01,5.95
Vins de consommation courante,1960-01-01,38.12
Bière,1960-01-01,10.94
Alcool fort,1961-01-01,12.65
"Champagne, cidre et apéritif",1961-01-01,11.32
Vins de qualité supérieure,1961-01-01,5.99
Vins de consommation courante,1961-01-01,36.5
Bière,1961-01-01,11.11
Alcool fort,1962-01-01,13.37
"Champagne, cidre et apéritif",1962-01-01,11.8
Vins de qualité supérieure,1962-01-01,6.22
Vins de consommation courante,1962-01-01,35.6
Bière,1962-01-01,10.49
Alcool fort,1963-01-01,14.66
"Champagne, cidre et apéritif",1963-01-01,11.84
Vins de qualité supérieure,1963-01-01,6.26
Vins de consommation courante,1963-01-01,33.73
Bière,1963-01-01,10.54
Alcool fort,1964-01-01,14.44
"Champagne, cidre et apéritif",1964-01-01,12.44
Vins de qualité supérieure,1964-01-01,5.92
Vins de consommation courante,1964-01-01,32.49
Bière,1964-01-01,11.41
Alcool fort,1965-01-01,15.35
"Champagne, cidre et apéritif",1965-01-01,12.61
Vins de qualité supérieure,1965-01-01,6.54
Vins de consommation courante,1965-01-01,31.6
Bière,1965-01-01,11.01
Alcool fort,1966-01-01,15.58
"Champagne, cidre et apéritif",1966-01-01,13.21
Vins de qualité supérieure,1966-01-01,6.36
Vins de consommation courante,1966-01-01,29.87
Bière,1966-01-01,11.58
Alcool fort,1967-01-01,15.76
"Champagne, cidre et apéritif",1967-01-01,13.89
Vins de qualité supérieure,1967-01-01,6.13
Vins de consommation courante,1967-01-01,27.95
Bière,1967-01-01,12.03
Alcool fort,1968-01-01,17.36
"Champagne, cidre et apéritif",1968-01-01,13.89
Vins de qualité supérieure,1968-01-01,6.02
Vins de consommation courante,1968-01-01,26.74
Bière,1968-01-01,12.05
Alcool fort,1969-01-01,16.58
"Champagne, cidre et apéritif",1969-01-01,14.1
Vins de qualité supérieure,1969-01-01,5.72
Vins de consommation courante,1969-01-01,26.47
Bière,1969-01-01,12.86
Alcool fort,1970-01-01,16.27
"Champagne, cidre et apéritif",1970-01-01,14.15
Vins de qualité supérieure,1970-01-01,5.84
Vins de consommation courante,1970-01-01,25.64
Bière,1970-01-01,12.91
Alcool fort,1971-01-01,16.68
"Champagne, cidre et apéritif",1971-01-01,15.36
Vins de qualité supérieure,1971-01-01,6.22
Vins de consommation courante,1971-01-01,23.85
Bière,1971-01-01,13.34
Alcool fort,1972-01-01,18.01
"Champagne, cidre et apéritif",1972-01-01,16.25
Vins de qualité supérieure,1972-01-01,6.52
Vins de consommation courante,1972-01-01,23.01
Bière,1972-01-01,12.38
Alcool fort,1973-01-01,17.5
"Champagne, cidre et apéritif",1973-01-01,16.77
Vins de qualité supérieure,1973-01-01,6.48
Vins de consommation courante,1973-01-01,23.52
Bière,1973-01-01,12.75
Alcool fort,1974-01-01,18.0
"Champagne, cidre et apéritif",1974-01-01,17.06
Vins de qualité supérieure,1974-01-01,7.05
Vins de consommation courante,1974-01-01,21.96
Bière,1974-01-01,12.91
Alcool fort,1975-01-01,18.46
"Champagne, cidre et apéritif",1975-01-01,17.43
Vins de qualité supérieure,1975-01-01,7.23
Vins de consommation courante,1975-01-01,19.7
Bière,1975-01-01,13.68
Alcool fort,1976-01-01,16.75
"Champagne, cidre et apéritif",1976-01-01,17.99
Vins de qualité supérieure,1976-01-01,6.67
Vins de consommation courante,1976-01-01,18.94
Bière,1976-01-01,14.25
Alcool fort,1977-01-01,15.97
"Champagne, cidre et apéritif",1977-01-01,17.29
Vins de qualité supérieure,1977-01-01,6.81
Vins de consommation courante,1977-01-01,17.76
Bière,1977-01-01,12.93
Alcool fort,1978-01-01,16.76
"Champagne, cidre et apéritif",1978-01-01,16.97
Vins de qualité supérieure,1978-01-01,7.07
Vins de consommation courante,1978-01-01,18.09
Bière,1978-01-01,13.26
Alcool fort,1979-01-01,16.87
"Champagne, cidre et apéritif",1979-01-01,17.21
Vins de qualité supérieure,1979-01-01,7.24
Vins de consommation courante,1979-01-01,17.52
Bière,1979-01-01,13.71
Alcool fort,1980-01-01,17.27
"Champagne, cidre et apéritif",1980-01-01,18.02
Vins de qualité supérieure,1980-01-01,7.49
Vins de consommation courante,1980-01-01,16.23
Bière,1980-01-01,13.44
Alcool fort,1981-01-01,16.91
"Champagne, cidre et apéritif",1981-01-01,17.65
Vins de qualité supérieure,1981-01-01,7.8
Vins de consommation courante,1981-01-01,16.2
Bière,1981-01-01,14.72
Alcool fort,1982-01-01,16.49
"Champagne, cidre et apéritif",1982-01-01,17.01
Vins de qualité supérieure,1982-01-01,8.37
Vins de consommation courante,1982-01-01,15.49
Bière,1982-01-01,15.16
Alcool fort,1983-01-01,17.32
"Champagne, cidre et apéritif",1983-01-01,17.07
Vins de qualité supérieure,1983-01-01,8.7
Vins de consommation courante,1983-01-01,13.7
Bière,1983-01-01,14.73
Alcool fort,1984-01-01,16.53
"Champagne, cidre et apéritif",1984-01-01,17.15
Vins de qualité supérieure,1984-01-01,8.87
Vins de consommation courante,1984-01-01,12.98
Bière,1984-01-01,14.09
Alcool fort,1985-01-01,16.44
"Champagne, cidre et apéritif",1985-01-01,17.09
Vins de qualité supérieure,1985-01-01,9.08
Vins de consommation courante,1985-01-01,12.7
Bière,1985-01-01,13.59
Alcool fort,1986-01-01,16.69
"Champagne, cidre et apéritif",1986-01-01,16.9
Vins de qualité supérieure,1986-01-01,9.84
Vins de consommation courante,1986-01-01,12.03
Bière,1986-01-01,13.2
Alcool fort,1987-01-01,16.99
"Champagne, cidre et apéritif",1987-01-01,17.28
Vins de qualité supérieure,1987-01-01,10.2
Vins de consommation courante,1987-01-01,11.6
Bière,1987-01-01,13.09
Alcool fort,1988-01-01,17.41
"Champagne, cidre et apéritif",1988-01-01,17.65
Vins de qualité supérieure,1988-01-01,10.57
Vins de consommation courante,1988-01-01,11.19
Bière,1988-01-01,13.09
Alcool fort,1989-01-01,17.31
"Champagne, cidre et apéritif",1989-01-01,17.99
Vins de qualité supérieure,1989-01-01,10.88
Vins de consommation courante,1989-01-01,10.56
Bière,1989-01-01,13.1
Alcool fort,1990-01-01,17.21
"Champagne, cidre et apéritif",1990-01-01,17.9
Vins de qualité supérieure,1990-01-01,11.94
Vins de consommation courante,1990-01-01,9.91
Bière,1990-01-01,12.59
Alcool fort,1991-01-01,18.17
"Champagne, cidre et apéritif",1991-01-01,17.65
Vins de qualité supérieure,1991-01-01,12.33
Vins de consommation courante,1991-01-01,9.78
Bière,1991-01-01,12.07
Alcool fort,1992-01-01,19.18
"Champagne, cidre et apéritif",1992-01-01,17.27
Vins de qualité supérieure,1992-01-01,12.52
Vins de consommation courante,1992-01-01,9.41
Bière,1992-01-01,12.1
Alcool fort,1993-01-01,19.81
"Champagne, cidre et apéritif",1993-01-01,17.74
Vins de qualité supérieure,1993-01-01,13.21
Vins de consommation courante,1993-01-01,8.75
Bière,1993-01-01,11.39
Alcool fort,1994-01-01,20.33
"Champagne, cidre et apéritif",1994-01-01,16.79
Vins de qualité supérieure,1994-01-01,13.2
Vins de consommation courante,1994-01-01,8.13
Bière,1994-01-01,11.06
Alcool fort,1995-01-01,19.1
"Champagne, cidre et apéritif",1995-01-01,16.11
Vins de qualité supérieure,1995-01-01,13.67
Vins de consommation courante,1995-01-01,7.81
Bière,1995-01-01,10.61
Alcool fort,1996-01-01,18.54
"Champagne, cidre et apéritif",1996-01-01,16.53
Vins de qualité supérieure,1996-01-01,14.02
Vins de consommation courante,1996-01-01,7.81
Bière,1996-01-01,10.6
Alcool fort,1997-01-01,17.96
"Champagne, cidre et apéritif",1997-01-01,16.48
Vins de qualité supérieure,1997-01-01,14.19
Vins de consommation courante,1997-01-01,7.53
Bière,1997-01-01,10.56
Alcool fort,1998-01-01,17.55
"Champagne, cidre et apéritif",1998-01-01,16.48
Vins de qualité supérieure,1998-01-01,14.84
Vins de consommation courante,1998-01-01,7.31
Bière,1998-01-01,10.73
Alcool fort,1999-01-01,17.44
"Champagne, cidre et apéritif",1999-01-01,16.86
Vins de qualité supérieure,1999-01-01,15.24
Vins de consommation courante,1999-01-01,7.22
Bière,1999-01-01,10.64
Alcool fort,2000-01-01,17.86
"Champagne, cidre et apéritif",2000-01-01,16.33
Vins de qualité supérieure,2000-01-01,15.6
Vins de consommation courante,2000-01-01,6.98
Bière,2000-01-01,10.0
Alcool fort,2001-01-01,17.8
"Champagne, cidre et apéritif",2001-01-01,16.43
Vins de qualité supérieure,2001-01-01,15.44
Vins de consommation courante,2001-01-01,6.85
Bière,2001-01-01,9.83
Alcool fort,2002-01-01,17.9
