Continent,Region/Country,Variable,Year,Quantity
Asia,Afghanistan,Consumption,1995.0,0.0
Asia,Afghanistan,Imports,1995.0,0.0
Asia,Afghanistan,Production,1995.0,0.0
Asia,Afghanistan,Consumption,1996.0,0.0
Asia,Afghanistan,Imports,1996.0,0.0
Asia,Afghanistan,Production,1996.0,0.0
Asia,Afghanistan,Consumption,1997.0,0.0
Asia,Afghanistan,Imports,1997.0,0.0
Asia,Afghanistan,Production,1997.0,0.0
Asia,Afghanistan,Consumption,1998.0,0.0
Asia,Afghanistan,Imports,1998.0,0.0
Asia,Afghanistan,Production,1998.0,0.0
Asia,Afghanistan,Consumption,1999.0,0.0
Asia,Afghanistan,Imports,1999.0,0.0
Asia,Afghanistan,Production,1999.0,0.0
Asia,Afghanistan,Consumption,2000.0,0.0
Asia,Afghanistan,Imports,2000.0,0.0
Asia,Afghanistan,Production,2000.0,0.0
Asia,Afghanistan,Consumption,2001.0,0.0
Asia,Afghanistan,Imports,2001.0,0.0
Asia,Afghanistan,Production,2001.0,0.0
Asia,Afghanistan,Consumption,2002.0,0.0
Asia,Afghanistan,Imports,2002.0,0.0
Asia,Afghanistan,Production,2002.0,0.0
Asia,Afghanistan,Consumption,2003.0,1.0
Asia,Afghanistan,Imports,2003.0,1.0
Asia,Afghanistan,Production,2003.0,0.0
Asia,Afghanistan,Consumption,2004.0,1.0
Asia,Afghanistan,Imports,2004.0,1.0
Asia,Afghanistan,Production,2004.0,0.0
Asia,Afghanistan,Consumption,2005.0,1.0
Asia,Afghanistan,Imports,2005.0,1.0
Asia,Afghanistan,Production,2005.0,0.0
Asia,Afghanistan,Consumption,2006.0,9.0
Asia,Afghanistan,Imports,2006.0,9.0
Asia,Afghanistan,Production,2006.0,0.0
Asia,Afghanistan,Consumption,2007.0,10.0
Asia,Afghanistan,Imports,2007.0,10.0
Asia,Afghanistan,Production,2007.0,0.0
Asia,Afghanistan,Consumption,2008.0,1.0
Asia,Afghanistan,Imports,2008.0,1.0
Asia,Afghanistan,Production,2008.0,0.0
Asia,Afghanistan,Consumption,2009.0,3.0
Asia,Afghanistan,Imports,2009.0,3.0
Asia,Afghanistan,Production,2009.0,0.0
Asia,Afghanistan,Consumption,2010.0,2.0
Asia,Afghanistan,Imports,2010.0,2.0
Asia,Afghanistan,Production,2010.0,0.0
Asia,Afghanistan,Consumption,2011.0,1.0
Asia,Afghanistan,Imports,2011.0,1.0
Asia,Afghanistan,Production,2011.0,0.0
Asia,Afghanistan,Consumption,2012.0,1.0
Asia,Afghanistan,Imports,2012.0,1.0
Asia,Afghanistan,Production,2012.0,0.0
Asia,Afghanistan,Consumption,2013.0,1.0
Asia,Afghanistan,Imports,2013.0,0.0
Asia,Afghanistan,Production,2013.0,0.0
Asia,Afghanistan,Consumption,2014.0,1.0
Asia,Afghanistan,Imports,2014.0,1.0
Asia,Afghanistan,Production,2014.0,0.0
Asia,Afghanistan,Consumption,2015.0,1.0
Asia,Afghanistan,Imports,2015.0,1.0
Asia,Afghanistan,Production,2015.0,0.0
Asia,Afghanistan,Consumption,2016.0,1.0
Asia,Afghanistan,Imports,2016.0,1.0
Asia,Afghanistan,Production,2016.0,0.0
Asia,Afghanistan,Consumption,2017.0,1.0
Asia,Afghanistan,Imports,2017.0,1.0
Asia,Afghanistan,Production,2017.0,0.0
Asia,Afghanistan,Consumption,2018.0,1.0
Asia,Afghanistan,Imports,2018.0,1.0
Asia,Afghanistan,Production,2018.0,0.0
Asia,Afghanistan,Consumption,2019.0,1.0
Asia,Afghanistan,Imports,2019.0,1.0
Asia,Afghanistan,Production,2019.0,0.0
