Date,Type,Quantity
1980-01-01,Vins appellation,32.9
1981-01-01,Vins appellation,36.6
1982-01-01,Vins appellation,46.1
1983-01-01,Vins appellation,42.0
1984-01-01,Vins appellation,45.0
1985-01-01,Vins appellation,52.5
1986-01-01,Vins appellation,53.0
1987-01-01,Vins appellation,49.8
1988-01-01,Vins appellation,49.7
1989-01-01,Vins appellation,63.5
1990-01-01,Vins appellation,71.6
1991-01-01,Vins appellation,69.0
1992-01-01,Vins appellation,63.8
1993-01-01,Vins appellation,55.4
1994-01-01,Vins appellation,63.9
1995-01-01,Vins appellation,74.6
1996-01-01,Vins appellation,74.0
1997-01-01,Vins appellation,77.0
1998-01-01,Vins appellation,88.1
1999-01-01,Vins appellation,83.7
2000-01-01,Vins appellation,78.4
2001-01-01,Vins appellation,77.9
2002-01-01,Vins appellation,78.4
2003-01-01,Vins appellation,78.0
2004-01-01,Vins appellation,76.5
2005-01-01,Vins appellation,65.1
2006-01-01,Vins appellation,65.5
2007-01-01,Vins appellation,70.4
2008-01-01,Vins appellation,78.0
2009-01-01,Vins appellation,76.3
2010-01-01,Vins appellation,74.6
2011-01-01,Vins appellation,78.8
2012-01-01,Vins appellation,79.6
2013-01-01,Vins appellation,90.8
2014-01-01,Vins appellation,105.4
2015-01-01,Vins appellation,100.0
2016-01-01,Vins appellation,107.5
2017-01-01,Vins appellation,111.7
2018-01-01,Vins appellation,118.5
2019-01-01,Vins appellation,108.0
2020-01-01,Vins appellation,102.4
2021-01-01,Vins appellation,110.7
2022-01-01,Vins appellation,123.7
1980-01-01,Vins de table,27.7
1981-01-01,Vins de table,31.4
1982-01-01,Vins de table,36.9
1983-01-01,Vins de table,37.3
1984-01-01,Vins de table,38.2
1985-01-01,Vins de table,41.0
1986-01-01,Vins de table,42.0
1987-01-01,Vins de table,39.6
1988-01-01,Vins de table,41.2
1989-01-01,Vins de table,48.4
1990-01-01,Vins de table,56.9
1991-01-01,Vins de table,55.2
1992-01-01,Vins de table,55.8
1993-01-01,Vins de table,51.5
1994-01-01,Vins de table,55.7
1995-01-01,Vins de table,58.3
1996-01-01,Vins de table,58.2
1997-01-01,Vins de table,54.7
1998-01-01,Vins de table,58.0
1999-01-01,Vins de table,62.4
2000-01-01,Vins de table,56.8
2001-01-01,Vins de table,50.4
2002-01-01,Vins de table,52.9
2003-01-01,Vins de table,65.4
2004-01-01,Vins de table,68.1
2005-01-01,Vins de table,53.6
2006-01-01,Vins de table,48.3
2007-01-01,Vins de table,52.7
2008-01-01,Vins de table,61.9
2009-01-01,Vins de table,62.8
2010-01-01,Vins de table,62.3
2011-01-01,Vins de table,70.4
2012-01-01,Vins de table,73.7
2013-01-01,Vins de table,84.1
2014-01-01,Vins de table,93.3
2015-01-01,Vins de table,100.0
2016-01-01,Vins de table,94.2
2017-01-01,Vins de table,83.8
2018-01-01,Vins de table,95.3
2019-01-01,Vins de table,89.3
2020-01-01,Vins de table,93.9
2021-01-01,Vins de table,100.6
2022-01-01,Vins de table,108.0
1980-01-01,Vins de pays,27.8
1981-01-01,Vins de pays,31.0
1982-01-01,Vins de pays,35.8
1983-01-01,Vins de pays,37.9
1984-01-01,Vins de pays,39.6
1985-01-01,Vins de pays,40.5
1986-01-01,Vins de pays,42.4
1987-01-01,Vins de pays,41.3
1988-01-01,Vins de pays,41.4
1989-01-01,Vins de pays,47.4
1990-01-01,Vins de pays,57.6
1991-01-01,Vins de pays,59.0
1992-01-01,Vins de pays,59.0
1993-01-01,Vins de pays,50.2
1994-01-01,Vins de pays,55.1
1995-01-01,Vins de pays,60.3
1996-01-01,Vins de pays,63.0
1997-01-01,Vins de pays,62.5
1998-01-01,Vins de pays,65.6
1999-01-01,Vins de pays,72.1
2000-01-01,Vins de pays,64.9
2001-01-01,Vins de pays,57.7
2002-01-01,Vins de pays,58.9
2003-01-01,Vins de pays,69.4
2004-01-01,Vins de pays,69.8
2005-01-01,Vins de pays,60.6
2006-01-01,Vins de pays,54.5
2007-01-01,Vins de pays,56.2
2008-01-01,Vins de pays,65.9
2009-01-01,Vins de pays,64.9
2010-01-01,Vins de pays,68.4
2011-01-01,Vins de pays,77.3
2012-01-01,Vins de pays,75.7
2013-01-01,Vins de pays,82.2
2014-01-01,Vins de pays,89.5
2015-01-01,Vins de pays,100.0
2016-01-01,Vins de pays,96.8
2017-01-01,Vins de pays,92.0
2018-01-01,Vins de pays,98.7
2019-01-01,Vins de pays,97.9
2020-01-01,Vins de pays,98.0
2021-01-01,Vins de pays,99.0
2022-01-01,Vins de pays,107.9
