Departement,S TOTAL,S_AOP,S_IGP,S_VSIG,AOP_Blanc,AOP_Rouge,AOP_Rosé,AOP_VSI / VCI,IGP_Blanc,IGP_RougeI,IGP_Rosé,VSIG_Blanc,VSIG_Rouge,VSIG_Rosé,TOTAL
01 AIN,735,519,36,180,"13,672","3,907","13,851",0,"1,446",140,153,"5,039","2,138","6,551","47,265"
02 AISNE,"2,491","2,486",,5,"204,785",0,0,0,0,0,0,411,0,0,"247,008"
03 ALLIER,598,546,22,31,"8,143","15,803","3,289",0,811,336,24,604,304,336,"30,854"
04 ALPES DE HAUTES-PROVENCE,695,255,387,53,"1,472","3,138","6,705",0,"2,921","5,297","14,792",398,711,"1,807","38,342"
05 HAUTES-ALPES,112,,109,3,0,0,0,0,"1,474","2,167","1,351",73,23,3,"5,477"
06 ALPES-MARITIMES,78,51,27,0,407,378,178,0,196,587,159,0,2,0,"1,934"
07 ARDECHE,"10,232","2,748","7,000",483,"10,340","93,958","7,100","1,903","91,248","156,488","165,502","14,078","9,983","1,115","562,660"
09 ARIEGE,64,,61,4,0,0,0,0,99,741,254,5,42,0,"1,176"
10 AUBE,"7,166","7,166",,0,"613,629",0,0,0,0,0,0,4,0,0,"727,922"
11 AUDE,"64,220","19,491","41,444","3,284","103,732","554,957","123,751",0,"580,588","1,577,968","316,115","48,691","172,410","20,678","3,559,336"
12 AVEYRON,401,309,54,37,385,"9,274","1,984",0,342,964,148,70,581,159,"14,306"
13 BOUCHES-DU-RHONE,"10,595","6,944","3,448",203,"21,724","29,412","299,912",62,"18,350","48,383","216,591","1,907","4,497","5,108","675,627"
14 CALVADOS,7,,7,0,0,0,0,0,104,112,0,4,0,0,224
15 CANTAL,9,2,7,0,19,50,19,0,83,121,7,5,0,0,309
16 CHARENTE,"39,986",109,395,436,"2,698",0,"2,497",0,"5,074","14,137","1,327","16,459","11,621",661,"5,098,505"
17 CHARENTE-MARITIME,"39,784",849,"1,200",809,"21,035",352,"28,148",0,"28,654","48,275","8,294","57,680","22,310","1,281","4,834,859"
18 CHER,"4,285","4,206",53,26,"211,766","33,590","17,172","3,278","2,083",787,522,531,451,521,"274,502"
19 CORREZE,74,24,44,6,401,345,0,0,259,"1,046",503,9,135,65,"2,768"
21 COTE-D'OR,"9,520","9,439",27,54,"209,966","281,454","2,365","1,333",704,585,92,"1,321",995,82,"514,039"
23 CREUSE,1,,,1,0,0,0,0,0,0,0,5,8,0,13
24 DORDOGNE,"11,110","10,239",414,437,"188,955","219,163","53,937","12,008","7,513","17,074","5,912","11,522","10,295","4,453","550,186"
25 DOUBS,16,,11,5,0,0,0,0,322,72,20,184,35,7,659
26 DROME,"15,914","13,635","2,035",245,"124,862","404,240","41,924","6,393","16,934","57,546","35,956","1,691","3,598",520,"710,477"
2A CORSE-DU-SUD,905,707,92,106,"4,662","11,912","7,894",0,"1,149","2,997","2,931",972,"1,651","1,725","36,827"
2B HAUTE-CORSE,"4,979","2,092","2,674",213,"13,733","16,273","53,290",0,"26,045","33,097","170,238","9,151","2,991","6,452","337,822"
30 GARD,"52,994","19,361","30,976","2,657","60,880","638,187","168,192","9,966","377,762","893,082","832,780","36,938","140,199","77,806","3,320,289"
31 HAUTE-GARONNE,"1,324",756,518,49,0,"19,804","13,586",0,537,"10,947","19,592",214,"1,574",487,"68,633"
32 GERS,"18,953","1,723","11,739","3,904","20,151","57,432","15,565",0,"902,364","66,166","106,562","552,495","7,251","23,065","1,931,310"
33 GIRONDE,"114,615","112,633",255,"1,727","584,106","4,233,420","224,209","220,986","5,942","10,216","5,996","25,578","59,935","30,036","5,533,976"
34 HERAULT,"80,690","16,804","58,733","5,154","150,283","324,034","146,330",0,"1,009,248","1,746,348","1,092,079","97,970","280,042","81,800","5,059,527"
36 INDRE,535,343,84,108,"12,181","5,263","3,376",401,"4,023","2,129",514,"1,916","3,193","1,981","35,493"
37 INDRE-ET-LOIRE,"9,687","8,967",119,601,"198,477","240,822","38,131","25,133","3,277","3,028","1,565","19,209","10,247","24,491","580,445"
38 ISERE,285,155,85,44,"7,961",757,126,128,"1,543","2,130",158,"1,762",491,278,"15,959"
39 JURA,"2,051","1,976",12,63,"96,578","23,025","4,011",0,566,167,0,"1,803","1,345",117,"131,555"
40 LANDES,"1,604",298,653,314,"1,815","5,534","4,657",0,"33,368","4,899","7,190","36,164",521,"1,110","131,363"
41 LOIR-ET-CHER,"6,527","4,844",730,953,"184,512","58,031","41,223","8,162","38,286","11,532","5,577","31,997","13,685","22,001","422,727"
42 LOIRE,948,628,233,87,"7,345","19,308","1,301",0,"5,597","4,465","2,428","1,928","1,549","1,039","45,623"
43 HAUTE-LOIRE,2,,,2,0,0,0,0,0,0,0,9,11,12,31
44 LOIRE-ATLANTIQUE,"10,815","7,482","1,470","1,862","421,115","1,665","1,712","35,628","73,575","19,836","26,407","162,627","17,260","59,332","837,495"
45 LOIRET,116,99,2,15,"1,837","2,026",475,0,51,94,0,94,420,50,"5,153"
